媒体ID,媒体名称,媒体时长(s),媒体大小(bytes),分类,创建时间,最近更新,流畅_MP4,标清_MP4,高清_MP4,超清_MP4
30586d6e479e71f0b1525017f1e90102,朱雅新.mp4,934.741,"1,203,955,584",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 23:03:43,2025-06-12 23:30:47,https://vod.mr-gut.cn/30586d6e479e71f0b1525017f1e90102/f69f9d136222457f8e1b0d5e70be129d-7b12df947a6e703f8f8274eddb854510-fd.mp4,https://vod.mr-gut.cn/30586d6e479e71f0b1525017f1e90102/f69f9d136222457f8e1b0d5e70be129d-d7270516d46bbb128e768c2374e99e1d-ld.mp4,https://vod.mr-gut.cn/30586d6e479e71f0b1525017f1e90102/f69f9d136222457f8e1b0d5e70be129d-e1e5d4a773c0dd40b3d8a6c82d4b7c00-sd.mp4,https://vod.mr-gut.cn/30586d6e479e71f0b1525017f1e90102/f69f9d136222457f8e1b0d5e70be129d-7a4cac5a53637318e923a3145d4d5c22-hd.mp4
a07181bd479d71f0bfdb4531958d0102,王欣宇.mp4,"1,915.2","2,469,504,256",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:58:46,2025-06-12 23:40:02,https://vod.mr-gut.cn/a07181bd479d71f0bfdb4531958d0102/4feb4d0692064a7695ec7decd432865a-9d32988c3ae6e7ac188435a907d476cd-fd.mp4,https://vod.mr-gut.cn/a07181bd479d71f0bfdb4531958d0102/4feb4d0692064a7695ec7decd432865a-5262c3a5fa1cab59aefd576b8d297d64-ld.mp4,https://vod.mr-gut.cn/a07181bd479d71f0bfdb4531958d0102/4feb4d0692064a7695ec7decd432865a-f15330a37c0d12956e8dc35beb2feb20-sd.mp4,https://vod.mr-gut.cn/a07181bd479d71f0bfdb4531958d0102/4feb4d0692064a7695ec7decd432865a-f057fc5578bc52d3da947fc5bc802d95-hd.mp4
c0f0c60c479c71f0bfdc4531859c0102,佟维娜.mp4,"1,855.552","2,391,628,288",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:46:40,2025-06-12 23:35:07,https://vod.mr-gut.cn/c0f0c60c479c71f0bfdc4531859c0102/463faef1c4d343b7b1f0edfc3d23353b-51df199512c4c9828c2971e9d39e4341-fd.mp4,https://vod.mr-gut.cn/c0f0c60c479c71f0bfdc4531859c0102/463faef1c4d343b7b1f0edfc3d23353b-ab67651eca2b327f3caee1e20312d3e9-ld.mp4,https://vod.mr-gut.cn/c0f0c60c479c71f0bfdc4531859c0102/463faef1c4d343b7b1f0edfc3d23353b-8e0ba7033658e16f0023294577e1973a-sd.mp4,https://vod.mr-gut.cn/c0f0c60c479c71f0bfdc4531859c0102/463faef1c4d343b7b1f0edfc3d23353b-e0096aa3e6b4ed0a67788bcecc7c9ccc-hd.mp4
d0f194c9479b71f0944b5017e1f90102,刘宏伟 蓝灿辉.mp4,534.464,"688,635,328",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:44:47,2025-06-12 23:00:15,https://vod.mr-gut.cn/d0f194c9479b71f0944b5017e1f90102/fc10c72810c24721b76670aa24c327b7-1a550635b13fe0fd88cebae2fe375088-fd.mp4,https://vod.mr-gut.cn/d0f194c9479b71f0944b5017e1f90102/fc10c72810c24721b76670aa24c327b7-8ab83b7a04e25052e55b32ad334dc40d-ld.mp4,https://vod.mr-gut.cn/d0f194c9479b71f0944b5017e1f90102/fc10c72810c24721b76670aa24c327b7-79ab628ad098967c97b45a5609360cbe-sd.mp4,https://vod.mr-gut.cn/d0f194c9479b71f0944b5017e1f90102/fc10c72810c24721b76670aa24c327b7-377213e34cd0a23f519e1af3ff02b26c-hd.mp4
a075d09f479a71f0a8405017e1f80102,刘畅.mp4,"2,006.187","2,586,909,440",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:36:28,2025-06-12 23:32:15,https://vod.mr-gut.cn/a075d09f479a71f0a8405017e1f80102/7ccf7ad505b3418b8fdb57ac7fed31fb-fdd5cd009a48f20c920b87f0340058e0-fd.mp4,https://vod.mr-gut.cn/a075d09f479a71f0a8405017e1f80102/7ccf7ad505b3418b8fdb57ac7fed31fb-810f0bde6e49406b36e69a7cafd04f43-ld.mp4,https://vod.mr-gut.cn/a075d09f479a71f0a8405017e1f80102/7ccf7ad505b3418b8fdb57ac7fed31fb-4b71db16f5d959e556df720d68062047-sd.mp4,https://vod.mr-gut.cn/a075d09f479a71f0a8405017e1f80102/7ccf7ad505b3418b8fdb57ac7fed31fb-b171cb5c927e1ccc3030b268f94023e1-hd.mp4
b06b8f85479a71f0b3836723a78f0102,李志慧.mp4,"1,079.701","1,391,437,184",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:35:44,2025-06-12 23:05:42,https://vod.mr-gut.cn/b06b8f85479a71f0b3836723a78f0102/67ff4504194a463ebf2fd86e01ea916c-ae2dd813c8a5049fe4c56eb832c25491-fd.mp4,https://vod.mr-gut.cn/b06b8f85479a71f0b3836723a78f0102/67ff4504194a463ebf2fd86e01ea916c-256afb522f760c2f9f8ec01d2a3cd2fc-ld.mp4,https://vod.mr-gut.cn/b06b8f85479a71f0b3836723a78f0102/67ff4504194a463ebf2fd86e01ea916c-64c224040eb4e5b3f1aceb80a5d6f728-sd.mp4,https://vod.mr-gut.cn/b06b8f85479a71f0b3836723a78f0102/67ff4504194a463ebf2fd86e01ea916c-87cdc2a328bba4dcdb3e8f037a3c7ac4-hd.mp4
205c3138479a71f0ad546632b68f0102,李常坤.mp4,"1,887.36","2,433,519,872",2025肠道大会学术-2025-厌氧微生物实验技术培训班(第一期),2025-06-12 22:33:34,2025-06-12 23:27:37,https://vod.mr-gut.cn/205c3138479a71f0ad546632b68f0102/6698ceeb9a6343fd9e1b7a0e37d7200f-8db6bf574b98da1fd1c68b70496a6636-fd.mp4,https://vod.mr-gut.cn/205c3138479a71f0ad546632b68f0102/6698ceeb9a6343fd9e1b7a0e37d7200f-94d967323750f0da3bffa9824a925a3c-ld.mp4,https://vod.mr-gut.cn/205c3138479a71f0ad546632b68f0102/6698ceeb9a6343fd9e1b7a0e37d7200f-2c4337361646877294eb30409bd84716-sd.mp4,https://vod.mr-gut.cn/205c3138479a71f0ad546632b68f0102/6698ceeb9a6343fd9e1b7a0e37d7200f-aa173f9b3e5e94de65ada9be2e7b7455-hd.mp4
00c93a1f479971f0847e6732b78e0102,Yuming Hu.mp4,825.344,"1,063,678,912",2025肠道大会学术-2025-Wiley Advanced期刊发表前沿培训班,2025-06-12 22:25:43,2025-06-12 22:47:58,https://vod.mr-gut.cn/00c93a1f479971f0847e6732b78e0102/fb9ed9b821f7423ca4b5e1f4764e80b0-f526052f844c4ef9c4506a458903106f-fd.mp4,https://vod.mr-gut.cn/00c93a1f479971f0847e6732b78e0102/fb9ed9b821f7423ca4b5e1f4764e80b0-17fea4aa9d2f57f9b5b00f6798e24f9b-ld.mp4,https://vod.mr-gut.cn/00c93a1f479971f0847e6732b78e0102/fb9ed9b821f7423ca4b5e1f4764e80b0-5f755b69acb1bd1d0c7ad09c0631d1bc-sd.mp4,https://vod.mr-gut.cn/00c93a1f479971f0847e6732b78e0102/fb9ed9b821f7423ca4b5e1f4764e80b0-b7597043ade8991b5345c9bd56763234-hd.mp4
c0406b3f479871f091876733a78e0102,Taolan Zhao.mp4,649.472,"836,568,256",2025肠道大会学术-2025-Wiley Advanced期刊发表前沿培训班,2025-06-12 22:19:27,2025-06-12 22:37:24,https://vod.mr-gut.cn/c0406b3f479871f091876733a78e0102/a981ee0121b5419f846d28d48db00b8e-13ca88745c04f961e38fb66e77b6971e-fd.mp4,https://vod.mr-gut.cn/c0406b3f479871f091876733a78e0102/a981ee0121b5419f846d28d48db00b8e-c97ae50c5624ec88b38a82fa4802a4f9-ld.mp4,https://vod.mr-gut.cn/c0406b3f479871f091876733a78e0102/a981ee0121b5419f846d28d48db00b8e-eee11da91c61c7c234fdf9cba1ee60b9-sd.mp4,https://vod.mr-gut.cn/c0406b3f479871f091876733a78e0102/a981ee0121b5419f846d28d48db00b8e-5dbd43a560dd9c59df524032efbd267b-hd.mp4
d022beff479771f0bfb35017f1e80102,Paulina Strzyz.mp4,"1,081.557","1,394,438,656",2025肠道大会学术-2025-Wiley Advanced期刊发表前沿培训班,2025-06-12 22:17:40,2025-06-12 22:46:57,https://vod.mr-gut.cn/d022beff479771f0bfb35017f1e80102/11b040c693a14a818a9f73e40a0aa2b2-a77fa159717fb92b96f7f4a6b0969a8f-fd.mp4,https://vod.mr-gut.cn/d022beff479771f0bfb35017f1e80102/11b040c693a14a818a9f73e40a0aa2b2-6ca6a1ab60ee7e5edf5c53d6168565e3-ld.mp4,https://vod.mr-gut.cn/d022beff479771f0bfb35017f1e80102/11b040c693a14a818a9f73e40a0aa2b2-1df3509394ea1384e7d34595a9c2590e-sd.mp4,https://vod.mr-gut.cn/d022beff479771f0bfb35017f1e80102/11b040c693a14a818a9f73e40a0aa2b2-9df280f23176c2cb6ddf827e75d4f1ca-hd.mp4
